,screen_name,text,created_at,lan,location,player,sentiment,latitude,longitude,country
0,RobertoIzquier8,Adama Traore del Wolverhampton creo,2020-07-15 04:03:44,es,El Triángulo de las Bermudas,Adama,0.0,40.6405055,-8.6537539,Portugal
1,Diegolast316,Traigo unas ganas tremendas de hacerme el look de Adama Traore. Lo har.,2020-07-15 05:06:13,es,"México, DF",Adama,0.0,19.4326077,-99.133208,Mexico
2,thakurrohan87,"Adama traore and diop ..diop for lovren ..sell lovren ,shaq &amp; harry wilson...already lost werner t",2020-07-15 05:26:32,en,mumbai,Adama,0.0,19.0759837,72.8776559,India
3,Majjubizman,Wanna see a adama traore vs ferland mendy,2020-07-15 05:27:12,en,"Gurgaon, India",Adama,0.0,28.4594965,77.0266383,India
4,peagxxcrf,"imagina uma briga, entre adama traore e ele",2020-07-15 05:27:43,pt,"Rio de Janeiro, Brasil",Adama,0.0,-22.9068467,-43.1728965,Brazil
5,DjGriffman,Burnley v Wolves: Adama Traore doesn't do gym work - Conor Coady #WWFC #Wolves,2020-07-15 10:25:23,en,England,Adama,0.0,29.6936158,-95.3563361,United States
6,TheSportsman,Adama Traore averages 6.4 successful take-ons every 90 minutes in the Premier League this season. That's more t,2020-07-15 10:38:12,en,"Manchester, England",Adama,0.625,53.4807593,-2.2426305,United Kingdom
7,LeeTrundle10,Its because he actually tries to beat people. Too many players scar,2020-07-15 10:44:16,en,Swansea,Adama,0.2,51.62144,-3.943645999999999,United Kingdom
8,divine_jit,Adama Traore averages 6.4 successful take-ons every 90 minutes in the Premier League this season. That's more than an,2020-07-15 12:52:30,en,"Sreepur, Gazipur, Bangladesh",Adama,0.625,24.1996574,90.48090979999999,Bangladesh
9,La_Drizzy,Okocha is a Zaha/Adama Traore level talent. Let's not get carried away here pls,2020-07-15 12:53:10,en,Elm Street,Adama,0.0,-22.8859267,-43.1152587,Brazil
10,TeamCRonaldo,Top 6 fastest players in 2020: Alphonso Davies 36.51 km/h Achraf Hakimi 36.48 km/h Adama Traore 36.21 km/h,2020-07-15 12:55:21,ro,"Paris, France",Adama,0.5,48.856614,2.3522219,France
11,MrZeeshanMasih,Top 6 fastest players in 2020: Alphonso Davies 36.51 km/h Achraf Hakimi 36.48 km/h Adama Traore 36.21 km/h Kyli,2020-07-15 12:56:22,ro,"Cardiff, Wales",Adama,0.5,51.48158100000001,-3.17909,United Kingdom
12,pablo7carrete,Adama traore,2020-07-15 12:57:55,es,Alzira,Adama,0.0,39.1511854,-0.4333643,Spain
13,quantumSG95,Hahahaha but not interested. Sign ADAMA TRAORE,2020-07-15 13:00:41,en,"Navi Mumbai, India",Adama,0.037500000000000006,19.0330488,73.0296625,India
14,BBCSport,"Adama Traores claimed he doesn't do gym work... well, it's been confirmed Watch Burnley v Wolves on  from 17:30 B",2020-07-15 13:23:25,en,"MediaCityUK, Salford",Adama,0.4,53.4729811,-2.2997651,United Kingdom
15,JLH86,,2020-07-15 13:58:02,und,Coventry,Adama,0.0,32.5149469,-117.0382471,Mexico
16,UtdDeano,I was today years old when I found out that Brendan Rogers has the same physique as Adama Traore.,2020-07-15 14:05:24,en,"England, United Kingdom",Adama,0.05,52.3555177,-1.1743197,United Kingdom
17,JoshisButler90,Conor Coady reaffirming the claim that Adama Traore doesn't work out is a bit like WWE kayfabe futilely trying to i,2020-07-15 14:53:05,en,"Frome, England",Adama,0.0,51.230751,-2.320096,United Kingdom
18,shauny555,End of the 1st Quarter: Still Burnley 0-0 Wolves I was just thinking what a player Dwight McNeil would be with Adama Traore',2020-07-15 17:30:38,en,w yorks england,Adama,0.0,52.3555177,-1.1743197,United Kingdom
19,TomFornelli,How many hamstring injuries has Adama Traore caused left backs this season?,2020-07-15 17:31:09,en,"Chicago, IL",Adama,0.25,41.8931677,-87.6236899,United States
20,Simon_Hadley,Hilarious  ruining left backs fitness for a living.,2020-07-15 17:31:17,en,Kingswinford,Adama,0.25,52.4981719,-2.169995,United Kingdom
21,AllyButtons,Big Adama Traore is a pler,2020-07-15 17:33:05,en,Isle Of Skye,Adama,0.0,57.2736278,-6.2155023,United Kingdom
22,thetedhill,Charlie Taylor seems to have deliberately injured himself so he can stop playing against Adama Traore. Akin to if I,2020-07-15 17:33:09,en,"London, England",Adama,0.0,51.5073509,-0.1277583,United Kingdom
23,thedavidkernick,"When  isnt taking the pitch, its all about adamatrd37 and #Wolverhampton! #premierleague",2020-07-15 17:33:24,en,"Los Angeles, CA",Adama,0.0,34.0522342,-118.2436849,United States
24,OfficialVizeh,Adama Traore up against Eric Pieters for 70 minutes,2020-07-15 17:34:00,en,VizehBusiness@outlook.com ,Adama,0.0,52.3555177,-1.1743197,United Kingdom
25,Arzinho2,Defo think adama traore is worth a punt for united.. ,2020-07-15 17:34:10,en,Belfast,Adama,0.3,-29.8916101,30.9985401,South Africa
26,JaysBettingClub,Erik Pieters is 8.50 to be booked now left back up against adama traore. Great value in my opinion,2020-07-15 17:38:19,en,Making Money ,Adama,0.26666666666666666,,,
27,radzjeewa7,That Adama Traore run tho,2020-07-15 18:35:56,en,"Durban, South Africa",Adama,0.0,-29.85868039999999,31.0218404,South Africa
28,hans_ojo,Adama Traore is an absolute BEAST,2020-07-15 18:36:02,en,Anfield Skies ,Adama,0.2,9.016346,7.450010499999999,Nigeria
