,screen_name,text,created_at,lan,location,player,sentiment,latitude,longitude,country
0,RobertoIzquier8,Adama Traore del Wolverhampton creo,2020-07-15 04:03:44,es,El Triángulo de las Bermudas,Adama,0.0,40.640505499999996,-8.6537539,Portugal
1,Diegolast316,Traigo unas ganas tremendas de hacerme el look de Adama Traore. Lo har.,2020-07-15 05:06:13,es,"México, DF",Adama,0.0,19.4326077,-99.133208,Mexico
2,thakurrohan87,"Adama traore and diop ..diop for lovren ..sell lovren ,shaq &amp; harry wilson...already lost werner t",2020-07-15 05:26:32,en,mumbai,Adama,0.0,19.0759837,72.87765590000001,India
3,Majjubizman,Wanna see a adama traore vs ferland mendy,2020-07-15 05:27:12,en,"Gurgaon, India",Adama,0.0,28.459496500000004,77.02663829999999,India
4,peagxxcrf,"imagina uma briga, entre adama traore e ele",2020-07-15 05:27:43,pt,"Rio de Janeiro, Brasil",Adama,0.0,-22.9068467,-43.1728965,Brazil
5,DjGriffman,Burnley v Wolves: Adama Traore doesn't do gym work - Conor Coady #WWFC #Wolves,2020-07-15 10:25:23,en,England,Adama,0.0,29.6936158,-95.3563361,United States
6,TheSportsman,Adama Traore averages 6.4 successful take-ons every 90 minutes in the Premier League this season. That's more t,2020-07-15 10:38:12,en,"Manchester, England",Adama,0.625,53.4807593,-2.2426305,United Kingdom
7,LeeTrundle10,Its because he actually tries to beat people. Too many players scar,2020-07-15 10:44:16,en,Swansea,Adama,0.2,51.62144,-3.943645999999999,United Kingdom
8,divine_jit,Adama Traore averages 6.4 successful take-ons every 90 minutes in the Premier League this season. That's more than an,2020-07-15 12:52:30,en,"Sreepur, Gazipur, Bangladesh",Adama,0.625,24.1996574,90.4809098,Bangladesh
9,La_Drizzy,Okocha is a Zaha/Adama Traore level talent. Let's not get carried away here pls,2020-07-15 12:53:10,en,Elm Street,Adama,0.0,-22.8859267,-43.115258700000005,Brazil
10,TeamCRonaldo,Top 6 fastest players in 2020: Alphonso Davies 36.51 km/h Achraf Hakimi 36.48 km/h Adama Traore 36.21 km/h,2020-07-15 12:55:21,ro,"Paris, France",Adama,0.5,48.856614,2.3522218999999995,France
11,MrZeeshanMasih,Top 6 fastest players in 2020: Alphonso Davies 36.51 km/h Achraf Hakimi 36.48 km/h Adama Traore 36.21 km/h Kyli,2020-07-15 12:56:22,ro,"Cardiff, Wales",Adama,0.5,51.48158100000001,-3.17909,United Kingdom
12,pablo7carrete,Adama traore,2020-07-15 12:57:55,es,Alzira,Adama,0.0,39.151185399999996,-0.4333643,Spain
