,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Augsburg,18,1170,0,2,0.08,0.38,0.10+0.10,0.85-1.15,0.01,0.07,Raphael Framberger,Bundesliga,D
1,2.0,2018/2019,Augsburg,7,547,0,0,0.0,1.15,0.00,1.50+1.50,0.0,0.25,Raphael Framberger,Bundesliga,D
2,3.0,2017/2018,Augsburg,9,700,0,0,0.13,1.16,0.03+0.03,1.10+1.10,0.0,0.14,Raphael Framberger,Bundesliga,D
3,4.0,2016/2017,Augsburg,3,144,0,1,0.0,1.25,0.00,0.63-0.37,0.0,0.39,Raphael Framberger,Bundesliga,D
4,,,,37,2561,0,3,0.07,0.81,0.13+0.13,4.07+1.07,0.0,0.14,Raphael Framberger,Bundesliga,D
0,1.0,2019/2020,FC Cologne,18,1159,0,0,0.16,1.16,0.09+0.09,1.04+1.04,0.01,0.08,Benno Schmitz,Bundesliga,D
1,2.0,2017/2018,RasenBallsport Leipzig,2,82,0,0,0.0,2.2,0.00,0.08+0.08,0.0,0.08,Benno Schmitz,Bundesliga,D
2,3.0,2016/2017,RasenBallsport Leipzig,16,991,0,2,0.91,0.73,0.41+0.41,1.71-0.29,0.04,0.16,Benno Schmitz,Bundesliga,D
3,,,,36,2232,0,2,0.48,1.01,0.51+0.51,2.82+0.82,0.02,0.11,Benno Schmitz,Bundesliga,D
0,1.0,2019/2020,Hoffenheim,21,1175,2,0,0.54,0.15,0.41-1.59,0.08+0.08,0.03,0.01,Ermin Bicakcic,Bundesliga,D
1,2.0,2018/2019,Hoffenheim,25,1783,1,2,0.45,0.25,2.25+1.25,0.71-1.29,0.11,0.04,Ermin Bicakcic,Bundesliga,D
2,3.0,2017/2018,Hoffenheim,9,548,0,0,0.16,0.16,0.02+0.02,0.05+0.05,0.0,0.01,Ermin Bicakcic,Bundesliga,D
3,4.0,2016/2017,Hoffenheim,18,1051,1,0,0.77,0.51,1.04+0.04,0.29+0.29,0.09,0.02,Ermin Bicakcic,Bundesliga,D
4,5.0,2015/2016,Hoffenheim,21,1600,0,0,0.45,0.17,1.29+1.29,0.11+0.11,0.07,0.01,Ermin Bicakcic,Bundesliga,D
5,6.0,2014/2015,Hoffenheim,24,2072,1,0,0.39,0.22,1.93+0.93,0.30+0.30,0.08,0.01,Ermin Bicakcic,Bundesliga,D
6,,,,118,8229,5,2,0.47,0.24,6.92+1.92,1.54-0.46,0.08,0.02,Ermin Bicakcic,Bundesliga,D
0,1.0,2019/2020,Bayer Leverkusen,14,1058,0,0,0.26,0.09,0.20+0.20,0.09+0.09,0.02,0.01,Edmond Tapsoba,Bundesliga,D
1,,,,14,1058,0,0,0.26,0.09,0.20+0.20,0.09+0.09,0.02,0.01,Edmond Tapsoba,Bundesliga,D
0,1.0,2019/2020,Bayer Leverkusen,18,1377,2,1,0.92,1.18,0.78-1.22,1.30+0.30,0.05,0.09,Lars Bender,Bundesliga,D
1,2.0,2018/2019,Bayer Leverkusen,20,1371,1,4,0.98,0.92,0.85-0.15,1.38-2.62,0.06,0.09,Lars Bender,Bundesliga,D
2,3.0,2017/2018,Bayer Leverkusen,21,1611,2,4,1.12,1.12,1.31-0.69,2.12-1.88,0.07,0.12,Lars Bender,Bundesliga,D
3,4.0,2016/2017,Bayer Leverkusen,9,617,0,1,0.73,1.02,0.13+0.13,1.78+0.78,0.02,0.26,Lars Bender,Bundesliga,D
4,5.0,2015/2016,Bayer Leverkusen,11,890,1,1,1.11,0.81,1.18+0.18,0.81-0.19,0.12,0.08,Lars Bender,Bundesliga,D
5,6.0,2014/2015,Bayer Leverkusen,26,2038,1,3,0.97,0.84,1.44+0.44,2.18-0.82,0.06,0.1,Lars Bender,Bundesliga,D
6,,,,105,7904,7,14,0.99,0.98,5.69-1.31,9.57-4.43,0.06,0.11,Lars Bender,Bundesliga,D
0,1.0,2019/2020,Paderborn,16,1200,1,0,0.9,0.45,1.41+0.41,0.22+0.22,0.11,0.02,Uwe Hünemeier,Bundesliga,D
1,2.0,2017/2018,Brighton,1,16,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Uwe Hünemeier,Bundesliga,D
2,3.0,2014/2015,Paderborn,32,2816,2,2,0.96,0.29,1.87-0.13,1.22-0.78,0.06,0.04,Uwe Hünemeier,Bundesliga,D
3,,,,49,4032,3,2,0.94,0.33,3.28+0.28,1.45-0.55,0.07,0.03,Uwe Hünemeier,Bundesliga,D
0,1.0,2019/2020,Mainz 05,26,1694,2,4,1.22,2.92,2.15+0.15,5.69+1.69,0.11,0.3,Daniel Brosinski,Bundesliga,D
1,2.0,2018/2019,Mainz 05,26,2208,3,5,0.73,1.71,2.92-0.08,4.08-0.92,0.12,0.17,Daniel Brosinski,Bundesliga,D
2,3.0,2017/2018,Mainz 05,29,2504,1,5,1.15,1.55,1.66+0.66,3.09-1.91,0.06,0.11,Daniel Brosinski,Bundesliga,D
3,4.0,2016/2017,Mainz 05,29,2453,1,2,1.25,1.1,1.56+0.56,2.36+0.36,0.06,0.09,Daniel Brosinski,Bundesliga,D
4,5.0,2015/2016,Mainz 05,30,2237,1,3,0.56,0.97,0.64-0.36,2.29-0.71,0.03,0.09,Daniel Brosinski,Bundesliga,D
5,6.0,2014/2015,Mainz 05,32,2776,0,3,0.68,0.62,1.38+1.38,2.11-0.89,0.04,0.07,Daniel Brosinski,Bundesliga,D
6,,,,172,13872,8,22,0.92,1.38,10.31+2.31,19.61-2.39,0.07,0.13,Daniel Brosinski,Bundesliga,D
0,1.0,2019/2020,Freiburg,33,2840,5,1,1.36,0.86,3.00-2.00,2.66+1.66,0.09,0.08,Jonathan Schmid,Bundesliga,D
1,2.0,2018/2019,Augsburg,28,2520,3,7,0.61,1.57,0.65-2.35,3.52-3.48,0.02,0.13,Jonathan Schmid,Bundesliga,D
2,3.0,2017/2018,Augsburg,25,1464,0,0,1.41,1.72,1.50+1.50,1.88+1.88,0.09,0.12,Jonathan Schmid,Bundesliga,D
3,4.0,2016/2017,Augsburg,25,1713,1,3,1.26,1.1,1.63+0.63,1.62-1.38,0.09,0.09,Jonathan Schmid,Bundesliga,D
4,5.0,2015/2016,Hoffenheim,23,1455,4,0,1.24,1.48,3.16-0.84,2.12+2.12,0.2,0.13,Jonathan Schmid,Bundesliga,D
5,6.0,2014/2015,Freiburg,33,2826,4,8,1.91,2.04,5.15+1.15,6.22-1.78,0.16,0.2,Jonathan Schmid,Bundesliga,D
6,,,,167,12818,17,19,1.31,1.46,15.09-1.91,18.02-0.98,0.11,0.13,Jonathan Schmid,Bundesliga,D
0,1.0,2019/2020,Paderborn,18,1462,1,3,0.86,0.92,0.76-0.24,1.11-1.89,0.05,0.07,Mohamed Dräger,Bundesliga,D
1,2.0,2017/2018,Freiburg,2,50,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Mohamed Dräger,Bundesliga,D
2,,,,20,1512,1,3,0.83,0.89,0.76-0.24,1.11-1.89,0.05,0.07,Mohamed Dräger,Bundesliga,D
0,1.0,2019/2020,Wolfsburg,15,1210,1,1,0.6,0.3,0.85-0.15,0.33-0.67,0.06,0.02,Marcel Tisserand,Bundesliga,D
1,2.0,2018/2019,Wolfsburg,10,892,1,0,1.01,0.1,1.41+0.41,0.06+0.06,0.14,0.01,Marcel Tisserand,Bundesliga,D
2,3.0,2017/2018,Wolfsburg,16,1250,0,1,0.43,0.14,0.20+0.20,0.10-0.90,0.01,0.01,Marcel Tisserand,Bundesliga,D
3,4.0,2016/2017,Ingolstadt,28,2390,0,1,0.6,0.19,1.72+1.72,0.52-0.48,0.06,0.02,Marcel Tisserand,Bundesliga,D
4,5.0,2016/2017,Monaco,1,90,0,0,1.0,0.0,0.10+0.10,0.00,0.1,0.0,Marcel Tisserand,Bundesliga,D
5,6.0,2015/2016,Toulouse,33,2846,1,0,0.32,0.44,1.13+0.13,0.92+0.92,0.04,0.03,Marcel Tisserand,Bundesliga,D
6,7.0,2014/2015,Toulouse,21,1419,0,1,0.76,0.51,0.54+0.54,0.64-0.36,0.03,0.04,Marcel Tisserand,Bundesliga,D
7,,,,124,10097,3,4,0.56,0.3,5.95+2.95,2.57-1.43,0.05,0.02,Marcel Tisserand,Bundesliga,D
0,1.0,2019/2020,RasenBallsport Leipzig,25,1795,3,1,1.1,0.7,2.81-0.19,1.56+0.56,0.14,0.08,Nordi Mukiele,Bundesliga,D
1,2.0,2018/2019,RasenBallsport Leipzig,19,1231,1,1,0.58,0.8,0.61-0.39,1.67+0.67,0.04,0.12,Nordi Mukiele,Bundesliga,D
2,3.0,2017/2018,Montpellier,33,2790,0,1,0.61,1.13,1.31+1.31,2.51+1.51,0.04,0.08,Nordi Mukiele,Bundesliga,D
3,4.0,2016/2017,Montpellier,17,1446,0,0,0.56,0.93,0.47+0.47,1.34+1.34,0.03,0.08,Nordi Mukiele,Bundesliga,D
4,,,,94,7262,4,3,0.72,0.93,5.20+1.20,7.07+4.07,0.06,0.09,Nordi Mukiele,Bundesliga,D
0,1.0,2019/2020,FC Cologne,18,1319,0,0,0.2,0.61,0.10+0.10,0.25+0.25,0.01,0.02,Noah Katterbach,Bundesliga,D
1,,,,18,1319,0,0,0.2,0.61,0.10+0.10,0.25+0.25,0.01,0.02,Noah Katterbach,Bundesliga,D
0,1.0,2019/2020,Hertha Berlin,17,1400,0,5,0.26,1.67,0.34+0.34,2.78-2.22,0.02,0.18,Marvin Plattenhardt,Bundesliga,D
1,2.0,2018/2019,Hertha Berlin,22,1928,1,2,0.51,1.49,0.70-0.30,2.65+0.65,0.03,0.12,Marvin Plattenhardt,Bundesliga,D
2,3.0,2017/2018,Hertha Berlin,33,2970,0,7,0.55,1.0,0.88+0.88,3.43-3.57,0.03,0.1,Marvin Plattenhardt,Bundesliga,D
3,4.0,2016/2017,Hertha Berlin,27,2430,3,3,0.89,1.33,1.26-1.74,4.42+1.42,0.05,0.16,Marvin Plattenhardt,Bundesliga,D
4,5.0,2015/2016,Hertha Berlin,33,2970,2,4,0.39,1.12,0.69-1.31,4.29+0.29,0.02,0.13,Marvin Plattenhardt,Bundesliga,D
5,6.0,2014/2015,Hertha Berlin,15,1282,0,1,0.21,0.84,0.19+0.19,0.64-0.36,0.01,0.04,Marvin Plattenhardt,Bundesliga,D
6,,,,147,12980,6,22,0.51,1.22,4.07-1.93,18.21-3.79,0.03,0.13,Marvin Plattenhardt,Bundesliga,D
