,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,FC Cologne,23,779,3,1,4.04,0.92,6.09+3.09,0.95-0.05,0.7,0.11,Simon Terodde,Bundesliga,F
1,2.0,2017/2018,FC Cologne,15,1165,5,0,1.7,1.08,5.73+0.73,0.82+0.82,0.44,0.06,Simon Terodde,Bundesliga,F
2,3.0,2017/2018,VfB Stuttgart,15,949,2,1,2.09,0.76,3.40+1.40,0.95-0.05,0.32,0.09,Simon Terodde,Bundesliga,F
3,,,,53,2893,10,2,2.46,0.93,15.22+5.22,2.72+0.72,0.47,0.08,Simon Terodde,Bundesliga,F
0,1.0,2019/2020,Hertha Berlin,11,750,5,0,4.2,0.96,3.54-1.46,0.56+0.56,0.42,0.07,Matheus Cunha,Bundesliga,F
1,2.0,2019/2020,RasenBallsport Leipzig,10,261,0,1,5.52,1.38,1.86+1.86,0.96-0.04,0.64,0.33,Matheus Cunha,Bundesliga,F
2,3.0,2018/2019,RasenBallsport Leipzig,25,849,2,0,3.6,0.74,3.92+1.92,0.90+0.90,0.42,0.1,Matheus Cunha,Bundesliga,F
3,,,,46,1860,7,1,4.11,0.92,9.32+2.32,2.42+1.42,0.45,0.12,Matheus Cunha,Bundesliga,F
0,1.0,2019/2020,Hoffenheim,26,1499,7,2,3.36,1.08,9.31+2.31,2.26+0.26,0.56,0.14,Christoph Baumgartner,Bundesliga,F
1,2.0,2018/2019,Hoffenheim,2,82,0,0,2.2,0.0,0.08+0.08,0.00,0.08,0.0,Christoph Baumgartner,Bundesliga,F
2,,,,28,1581,7,2,3.3,1.02,9.38+2.38,2.26+0.26,0.53,0.13,Christoph Baumgartner,Bundesliga,F
0,1.0,2019/2020,Paderborn,28,1211,3,2,1.41,1.04,3.06+0.06,1.25-0.75,0.23,0.09,Ben Zolinski,Bundesliga,F
1,,,,28,1211,3,2,1.41,1.04,3.06+0.06,1.25-0.75,0.23,0.09,Ben Zolinski,Bundesliga,F
0,1.0,2019/2020,Schalke 04,20,1174,2,0,1.76,0.92,2.62+0.62,0.76+0.76,0.2,0.06,Rabbi Matondo,Bundesliga,F
1,2.0,2018/2019,Schalke 04,7,182,0,0,1.48,1.48,0.53+0.53,0.54+0.54,0.26,0.27,Rabbi Matondo,Bundesliga,F
2,,,,27,1356,2,0,1.73,1.0,3.14+1.14,1.30+1.30,0.21,0.09,Rabbi Matondo,Bundesliga,F
0,1.0,2019/2020,Borussia Dortmund,19,1505,11,5,2.81,1.32,9.10-1.90,3.13-1.87,0.54,0.19,Marco Reus,Bundesliga,F
1,2.0,2018/2019,Borussia Dortmund,27,2335,17,8,2.66,1.46,16.64-0.36,6.94-1.06,0.64,0.27,Marco Reus,Bundesliga,F
2,3.0,2017/2018,Borussia Dortmund,11,944,7,0,2.96,1.81,5.46-1.54,2.15+2.15,0.52,0.2,Marco Reus,Bundesliga,F
3,4.0,2016/2017,Borussia Dortmund,17,1194,7,4,3.24,1.81,8.95+1.95,4.65+0.65,0.67,0.35,Marco Reus,Bundesliga,F
4,5.0,2015/2016,Borussia Dortmund,26,1930,12,3,2.94,2.1,11.67-0.33,6.78+3.78,0.54,0.32,Marco Reus,Bundesliga,F
5,6.0,2014/2015,Borussia Dortmund,20,1574,7,5,3.72,2.8,7.95+0.95,5.26+0.26,0.45,0.3,Marco Reus,Bundesliga,F
6,,,,120,9482,61,25,3.02,1.87,59.78-1.22,28.92+3.92,0.57,0.27,Marco Reus,Bundesliga,F
0,1.0,2019/2020,Hoffenheim,14,786,4,0,2.75,0.92,3.94-0.06,0.92+0.92,0.45,0.11,Munas Dabbur,Bundesliga,F
1,2.0,2019/2020,Sevilla,2,18,0,0,10.0,0.0,0.11+0.11,0.00,0.56,0.0,Munas Dabbur,Bundesliga,F
2,,,,16,804,4,0,2.91,0.9,4.06+0.06,0.92+0.92,0.45,0.1,Munas Dabbur,Bundesliga,F
0,1.0,2019/2020,Hertha Berlin,30,2050,7,6,1.76,1.58,7.52+0.52,5.30-0.70,0.33,0.23,Dodi Lukebakio,Bundesliga,F
1,2.0,2018/2019,Fortuna Duesseldorf,31,1989,10,3,2.53,0.9,11.85+1.85,2.21-0.79,0.54,0.1,Dodi Lukebakio,Bundesliga,F
