,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Manchester United,31,2673,17,7,3.2,1.11,19.50+2.50,5.46-1.54,0.66,0.18,Marcus Rashford,EPL,F
1,2.0,2018/2019,Manchester United,33,2360,10,6,3.2,1.45,11.61+1.61,5.27-0.73,0.44,0.2,Marcus Rashford,EPL,F
2,3.0,2017/2018,Manchester United,35,1792,7,5,3.11,1.1,5.53-1.47,4.60-0.40,0.28,0.23,Marcus Rashford,EPL,F
3,4.0,2016/2017,Manchester United,32,1687,5,1,2.35,1.07,6.27+1.27,1.99+0.99,0.33,0.11,Marcus Rashford,EPL,F
4,5.0,2015/2016,Manchester United,11,870,5,2,1.66,0.62,3.03-1.97,0.76-1.24,0.31,0.08,Marcus Rashford,EPL,F
5,,,,142,9382,44,21,2.89,1.14,45.95+1.95,18.08-2.92,0.44,0.17,Marcus Rashford,EPL,F
0,1.0,2019/2020,Watford,23,725,2,0,2.36,1.24,2.59+0.59,1.87+1.87,0.32,0.23,Andre Gray,EPL,F
1,2.0,2018/2019,Watford,29,1343,7,2,2.35,0.94,5.85-1.15,2.10+0.10,0.39,0.14,Andre Gray,EPL,F
2,3.0,2017/2018,Watford,31,1486,5,2,2.06,1.03,7.00+2.00,2.32+0.32,0.42,0.14,Andre Gray,EPL,F
3,4.0,2016/2017,Burnley,32,2279,9,3,1.86,0.75,7.56-1.44,1.47-1.53,0.3,0.06,Andre Gray,EPL,F
4,,,,115,5833,23,7,2.08,0.93,23.00,7.76+0.76,0.35,0.12,Andre Gray,EPL,F
0,1.0,2019/2020,Brighton,23,761,1,1,2.13,0.35,2.61+1.61,0.87-0.13,0.31,0.1,Glenn Murray,EPL,F
1,2.0,2018/2019,Brighton,38,2517,13,1,1.93,0.43,11.54-1.46,1.12+0.12,0.41,0.04,Glenn Murray,EPL,F
2,3.0,2017/2018,Brighton,35,2204,12,0,2.12,0.65,12.38+0.38,1.24+1.24,0.51,0.05,Glenn Murray,EPL,F
3,4.0,2015/2016,Bournemouth,19,656,3,0,3.16,0.82,3.34+0.34,0.48+0.48,0.46,0.07,Glenn Murray,EPL,F
4,5.0,2015/2016,Crystal Palace,2,133,0,0,1.35,2.03,0.69+0.69,0.04+0.04,0.46,0.02,Glenn Murray,EPL,F
5,6.0,2014/2015,Crystal Palace,17,859,7,3,3.98,0.73,9.53+2.53,1.53-1.47,1.0,0.16,Glenn Murray,EPL,F
6,,,,134,7130,36,5,2.36,0.59,40.08+4.08,5.27+0.27,0.51,0.07,Glenn Murray,EPL,F
0,1.0,2019/2020,Burnley,19,794,2,1,2.04,0.91,4.00+2.00,0.75-0.25,0.45,0.08,Matej Vydra,EPL,F
1,2.0,2018/2019,Burnley,13,308,1,1,1.75,0.58,1.92+0.92,0.50-0.50,0.56,0.15,Matej Vydra,EPL,F
2,3.0,2016/2017,Watford,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Matej Vydra,EPL,F
3,,,,33,1103,3,2,1.96,0.82,5.92+2.92,1.24-0.76,0.48,0.1,Matej Vydra,EPL,F
0,1.0,2019/2020,Southampton,21,654,3,2,1.65,1.38,2.15-0.85,1.23-0.77,0.3,0.17,Michael Obafemi,EPL,F
1,2.0,2018/2019,Southampton,6,131,1,1,4.81,1.37,1.89+0.89,0.34-0.66,1.3,0.23,Michael Obafemi,EPL,F
2,3.0,2017/2018,Southampton,1,7,0,0,12.86,0.0,0.55+0.55,0.00,7.01,0.0,Michael Obafemi,EPL,F
3,,,,28,792,4,3,2.27,1.36,4.59+0.59,1.56-1.44,0.52,0.18,Michael Obafemi,EPL,F
0,1.0,2019/2020,Arsenal,13,629,2,0,2.15,0.72,3.48+1.48,0.63+0.63,0.5,0.09,Eddie Nketiah,EPL,F
1,2.0,2018/2019,Arsenal,5,54,1,0,5.0,1.67,0.27-0.73,0.13+0.13,0.45,0.22,Eddie Nketiah,EPL,F
2,3.0,2017/2018,Arsenal,3,11,0,0,8.18,0.0,0.08+0.08,0.00,0.67,0.0,Eddie Nketiah,EPL,F
