,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Levante,34,2147,8,2,2.01,1.01,10.32+2.32,3.68+1.68,0.43,0.15,Borja Mayoral,La Liga,F
1,2.0,2018/2019,Levante,29,1602,3,2,1.35,1.12,4.70+1.70,3.28+1.28,0.26,0.18,Borja Mayoral,La Liga,F
2,3.0,2017/2018,Real Madrid,14,335,3,1,4.03,0.54,3.32+0.32,0.55-0.45,0.89,0.15,Borja Mayoral,La Liga,F
3,4.0,2016/2017,Wolfsburg,19,369,2,0,2.93,1.22,2.08+0.08,0.26+0.26,0.51,0.06,Borja Mayoral,La Liga,F
4,5.0,2015/2016,Real Madrid,6,283,0,0,0.95,0.32,0.21+0.21,0.03+0.03,0.07,0.01,Borja Mayoral,La Liga,F
5,,,,102,4736,16,5,1.94,0.99,20.63+4.63,7.80+2.80,0.39,0.15,Borja Mayoral,La Liga,F
0,1.0,2019/2020,Sevilla,35,2057,6,1,2.49,1.05,10.17+4.17,3.23+2.23,0.45,0.14,Luuk de Jong,La Liga,F
1,,,,35,2057,6,1,2.49,1.05,10.17+4.17,3.23+2.23,0.45,0.14,Luuk de Jong,La Liga,F
0,1.0,2019/2020,Villarreal,35,2781,18,5,2.88,1.62,15.31-2.69,7.58+2.58,0.5,0.25,Gerard Moreno,La Liga,F
1,2.0,2018/2019,Villarreal,35,2316,8,1,2.8,1.52,11.95+3.95,3.31+2.31,0.46,0.13,Gerard Moreno,La Liga,F
2,3.0,2017/2018,Espanyol,38,3413,16,1,2.77,1.16,15.85-0.15,4.25+3.25,0.42,0.11,Gerard Moreno,La Liga,F
3,4.0,2016/2017,Espanyol,37,3286,13,4,2.25,0.88,8.48-4.52,2.63-1.37,0.23,0.07,Gerard Moreno,La Liga,F
4,5.0,2015/2016,Espanyol,32,1914,7,3,2.4,0.89,7.70+0.70,2.86-0.14,0.36,0.13,Gerard Moreno,La Liga,F
5,6.0,2014/2015,Villarreal,26,1617,7,3,2.28,1.22,6.07-0.93,2.11-0.89,0.34,0.12,Gerard Moreno,La Liga,F
6,,,,203,15327,69,17,2.58,1.21,65.35-3.65,22.75+5.75,0.38,0.13,Gerard Moreno,La Liga,F
0,1.0,2019/2020,Atletico Madrid,34,2120,12,2,2.93,1.06,14.98+2.98,4.50+2.50,0.64,0.19,Álvaro Morata,La Liga,F
1,2.0,2018/2019,Atletico Madrid,15,1094,6,1,2.47,0.41,7.42+1.42,0.62-0.38,0.61,0.05,Álvaro Morata,La Liga,F
2,3.0,2018/2019,Chelsea,16,951,5,0,3.31,0.66,6.41+1.41,0.21+0.21,0.61,0.02,Álvaro Morata,La Liga,F
3,4.0,2017/2018,Chelsea,31,2069,11,6,3.44,1.57,13.90+2.90,3.58-2.42,0.6,0.16,Álvaro Morata,La Liga,F
4,5.0,2016/2017,Real Madrid,26,1326,15,4,3.73,1.15,9.52-5.48,3.84-0.16,0.65,0.26,Álvaro Morata,La Liga,F
5,6.0,2015/2016,Juventus,34,1451,7,7,2.98,1.74,8.10+1.10,4.13-2.87,0.5,0.26,Álvaro Morata,La Liga,F
6,7.0,2014/2015,Juventus,29,1309,8,5,3.51,1.31,5.01-2.99,1.81-3.19,0.34,0.12,Álvaro Morata,La Liga,F
7,,,,185,10320,64,25,3.2,1.19,65.34+1.34,18.70-6.30,0.57,0.16,Álvaro Morata,La Liga,F
0,1.0,2019/2020,Valencia,33,2168,10,2,1.7,0.58,6.88-3.12,3.25+1.25,0.29,0.13,Maxi Gómez,La Liga,F
1,2.0,2018/2019,Celta Vigo,35,2962,13,5,2.46,0.94,12.47-0.53,2.98-2.02,0.38,0.09,Maxi Gómez,La Liga,F
2,3.0,2017/2018,Celta Vigo,36,3084,17,4,2.42,0.67,16.01-0.99,4.30+0.30,0.47,0.13,Maxi Gómez,La Liga,F
3,,,,104,8214,40,11,2.25,0.75,35.37-4.63,10.52-0.48,0.39,0.12,Maxi Gómez,La Liga,F
0,1.0,2019/2020,Real Valladolid,35,2322,6,2,2.33,1.05,9.37+3.37,2.86+0.86,0.36,0.11,Enes Ünal,La Liga,F
1,2.0,2018/2019,Real Valladolid,33,2152,6,3,2.22,0.79,8.60+2.60,1.56-1.44,0.36,0.07,Enes Ünal,La Liga,F
2,3.0,2017/2018,Villarreal,23,1112,5,2,2.91,0.73,5.51+0.51,1.83-0.17,0.45,0.15,Enes Ünal,La Liga,F
3,4.0,2017/2018,Levante,7,597,1,1,1.21,0.75,1.76+0.76,0.32-0.68,0.27,0.05,Enes Ünal,La Liga,F
4,,,,98,6183,18,8,2.29,0.87,25.24+7.24,6.56-1.44,0.37,0.1,Enes Ünal,La Liga,F
0,1.0,2019/2020,Levante,36,2291,11,1,2.24,0.98,10.07-0.93,2.75+1.75,0.4,0.11,Roger,La Liga,F
1,2.0,2018/2019,Levante,31,1911,13,0,3.3,0.71,12.82-0.18,1.06+1.06,0.6,0.05,Roger,La Liga,F
2,3.0,2017/2018,Levante,17,958,3,2,2.54,0.94,4.83+1.83,1.76-0.24,0.45,0.17,Roger,La Liga,F
3,4.0,2015/2016,Levante,16,643,0,0,2.94,0.7,2.28+2.28,0.36+0.36,0.32,0.05,Roger,La Liga,F
4,,,,100,5803,27,3,2.71,0.85,30.00+3.00,5.93+2.93,0.47,0.09,Roger,La Liga,F
0,1.0,2019/2020,Granada,33,2411,7,4,1.23,1.05,5.55-1.45,4.24+0.24,0.21,0.16,Roberto Soldado,La Liga,F
1,2.0,2016/2017,Villarreal,10,753,4,3,2.03,1.67,2.94-1.06,2.47-0.53,0.35,0.3,Roberto Soldado,La Liga,F
2,3.0,2015/2016,Villarreal,28,2264,5,10,1.59,1.15,5.83+0.83,6.60-3.40,0.23,0.26,Roberto Soldado,La Liga,F
3,4.0,2014/2015,Tottenham,24,776,1,1,2.44,1.04,3.39+2.39,1.20+0.20,0.39,0.14,Roberto Soldado,La Liga,F
4,,,,95,6204,17,18,1.61,1.16,17.71+0.71,14.51-3.49,0.26,0.21,Roberto Soldado,La Liga,F
0,1.0,2019/2020,Alaves,34,2519,11,5,1.71,2.25,9.51-1.49,6.67+1.67,0.34,0.24,Lucas Pérez,La Liga,F
1,2.0,2018/2019,West Ham,15,462,3,0,1.75,1.56,1.39-1.61,0.88+0.88,0.27,0.17,Lucas Pérez,La Liga,F
2,3.0,2017/2018,Deportivo La Coruna,35,2797,8,6,1.74,2.51,9.46+1.46,9.90+3.90,0.3,0.32,Lucas Pérez,La Liga,F
3,4.0,2016/2017,Arsenal,11,254,1,0,3.19,2.48,0.94-0.06,0.57+0.57,0.33,0.2,Lucas Pérez,La Liga,F
4,5.0,2016/2017,Deportivo La Coruna,1,90,1,1,3.0,3.0,0.85-0.15,0.58-0.42,0.85,0.58,Lucas Pérez,La Liga,F
5,6.0,2015/2016,Deportivo La Coruna,36,3148,17,8,2.86,2.06,18.49+1.49,7.26-0.74,0.53,0.21,Lucas Pérez,La Liga,F
6,7.0,2014/2015,Deportivo La Coruna,21,1560,6,3,2.83,1.38,6.27+0.27,2.16-0.84,0.36,0.12,Lucas Pérez,La Liga,F
