,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Bordeaux,21,703,6,2,2.3,1.41,3.47-2.53,1.27-0.73,0.44,0.16,Josh Maja,Ligue1,F
1,2.0,2018/2019,Bordeaux,7,197,1,0,2.28,0.46,0.76-0.24,0.04+0.04,0.35,0.02,Josh Maja,Ligue1,F
2,,,,28,900,7,2,2.3,1.2,4.23-2.77,1.31-0.69,0.42,0.13,Josh Maja,Ligue1,F
0,1.0,2019/2020,Paris Saint Germain,15,1325,12,6,4.75,2.58,14.73+2.73,5.25-0.75,1.0,0.36,Neymar,Ligue1,F
1,2.0,2018/2019,Paris Saint Germain,17,1443,15,7,3.43,2.68,11.90-3.10,7.78+0.78,0.74,0.49,Neymar,Ligue1,F
2,3.0,2017/2018,Paris Saint Germain,20,1797,19,13,4.56,3.51,16.54-2.46,12.28-0.72,0.83,0.62,Neymar,Ligue1,F
3,4.0,2016/2017,Barcelona,30,2652,13,11,3.56,3.09,14.18+1.18,10.67-0.33,0.48,0.36,Neymar,Ligue1,F
4,5.0,2015/2016,Barcelona,34,3058,24,12,3.65,3.0,28.05+4.05,18.07+6.07,0.83,0.53,Neymar,Ligue1,F
5,6.0,2014/2015,Barcelona,33,2573,22,7,3.32,1.82,22.72+0.72,8.26+1.26,0.79,0.29,Neymar,Ligue1,F
6,,,,149,12848,105,56,3.78,2.77,108.11+3.11,62.32+6.32,0.76,0.44,Neymar,Ligue1,F
0,1.0,2019/2020,Paris Saint Germain,14,593,4,1,4.25,1.52,9.33+5.33,1.09+0.09,1.42,0.17,Edinson Cavani,Ligue1,F
1,2.0,2018/2019,Paris Saint Germain,21,1677,18,5,2.79,0.7,15.45-2.55,3.70-1.30,0.83,0.2,Edinson Cavani,Ligue1,F
2,3.0,2017/2018,Paris Saint Germain,32,2592,28,6,3.68,1.32,24.31-3.69,6.40+0.40,0.84,0.22,Edinson Cavani,Ligue1,F
3,4.0,2016/2017,Paris Saint Germain,36,2983,35,4,4.31,0.75,36.87+1.87,2.20-1.80,1.11,0.07,Edinson Cavani,Ligue1,F
4,5.0,2015/2016,Paris Saint Germain,32,2302,19,5,3.36,0.94,19.38+0.38,3.13-1.87,0.76,0.12,Edinson Cavani,Ligue1,F
5,6.0,2014/2015,Paris Saint Germain,35,2666,18,1,3.75,0.47,22.86+4.86,1.74+0.74,0.77,0.06,Edinson Cavani,Ligue1,F
6,,,,170,12813,122,22,3.69,0.87,128.20+6.20,18.26-3.74,0.9,0.13,Edinson Cavani,Ligue1,F
0,1.0,2019/2020,Nice,13,1007,1,1,1.7,0.89,1.22+0.22,1.24+0.24,0.11,0.11,Youcef Atal,Ligue1,F
1,2.0,2018/2019,Nice,29,2253,6,0,1.44,0.92,4.61-1.39,2.50+2.50,0.18,0.1,Youcef Atal,Ligue1,F
2,,,,42,3260,7,1,1.52,0.91,5.83-1.17,3.74+2.74,0.16,0.1,Youcef Atal,Ligue1,F
0,1.0,2019/2020,Saint-Etienne,16,1168,3,2,3.47,1.46,3.61+0.61,1.45-0.55,0.28,0.11,Wahbi Khazri,Ligue1,F
1,2.0,2018/2019,Saint-Etienne,32,2833,13,6,2.99,2.19,11.60-1.40,6.19+0.19,0.37,0.2,Wahbi Khazri,Ligue1,F
2,3.0,2017/2018,Rennes,24,1941,9,2,3.01,1.53,7.28-1.72,3.86+1.86,0.34,0.18,Wahbi Khazri,Ligue1,F
3,4.0,2016/2017,Sunderland,21,824,1,0,2.51,2.29,1.14+0.14,1.92+1.92,0.12,0.21,Wahbi Khazri,Ligue1,F
4,5.0,2015/2016,Bordeaux,20,1609,5,7,2.24,3.02,5.33+0.33,4.85-2.15,0.3,0.27,Wahbi Khazri,Ligue1,F
5,6.0,2015/2016,Sunderland,14,1087,2,1,1.99,2.24,0.86-1.14,2.23+1.23,0.07,0.18,Wahbi Khazri,Ligue1,F
6,7.0,2014/2015,Bordeaux,32,2395,9,5,2.86,1.8,7.47-1.53,4.78-0.22,0.28,0.18,Wahbi Khazri,Ligue1,F
7,,,,159,11857,42,23,2.79,2.06,37.29-4.71,25.27+2.27,0.28,0.19,Wahbi Khazri,Ligue1,F
0,1.0,2019/2020,Saint-Etienne,12,669,2,0,2.02,0.81,1.42-0.58,0.26+0.26,0.19,0.03,Lois Diony,Ligue1,F
1,2.0,2018/2019,Saint-Etienne,30,1599,5,1,2.2,1.07,7.94+2.94,1.79+0.79,0.45,0.1,Lois Diony,Ligue1,F
2,3.0,2017/2018,Saint-Etienne,16,939,0,0,1.53,0.48,0.86+0.86,0.27+0.27,0.08,0.03,Lois Diony,Ligue1,F
3,4.0,2016/2017,Dijon,35,2821,11,8,1.85,1.63,5.77-5.23,6.40-1.60,0.18,0.2,Lois Diony,Ligue1,F
4,,,,93,6028,18,9,1.91,1.21,15.98-2.02,8.72-0.28,0.24,0.13,Lois Diony,Ligue1,F
0,1.0,2019/2020,Lyon,22,1320,4,3,1.64,1.91,1.97-2.03,3.17+0.17,0.13,0.22,Maxwel Cornet,Ligue1,F
1,2.0,2018/2019,Lyon,27,1272,7,5,3.33,1.7,7.48+0.48,4.19-0.81,0.53,0.3,Maxwel Cornet,Ligue1,F
2,3.0,2017/2018,Lyon,30,1248,4,6,2.24,1.88,2.92-1.08,2.71-3.29,0.21,0.2,Maxwel Cornet,Ligue1,F
3,4.0,2016/2017,Lyon,33,1889,6,2,2.43,1.0,7.14+1.14,1.46-0.54,0.34,0.07,Maxwel Cornet,Ligue1,F
