,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2015/2016,Bournemouth,12,841,0,0,0.21,0.11,0.06+0.06,0.01+0.01,0.01,0.0,Sylvain Distin,EPL,M
1,2.0,2014/2015,Everton,13,1081,0,0,0.08,0.25,0.06+0.06,0.10+0.10,0.0,0.01,Sylvain Distin,EPL,M
2,,,,25,1922,0,0,0.14,0.19,0.12+0.12,0.10+0.10,0.01,0.0,Sylvain Distin,EPL,M
0,1.0,2019/2020,Everton,27,1267,3,2,0.85,1.7,1.70-1.30,2.30+0.30,0.12,0.16,Bernard,EPL,M
1,2.0,2018/2019,Everton,34,2146,1,3,0.96,1.72,2.69+1.69,3.24+0.24,0.11,0.14,Bernard,EPL,M
2,,,,61,3413,4,5,0.92,1.71,4.39+0.39,5.54+0.54,0.12,0.15,Bernard,EPL,M
0,1.0,2019/2020,Brighton,31,2018,5,3,1.83,1.87,5.35+0.35,4.63+1.63,0.24,0.21,Leandro Trossard,EPL,M
1,,,,31,2018,5,3,1.83,1.87,5.35+0.35,4.63+1.63,0.24,0.21,Leandro Trossard,EPL,M
0,1.0,2019/2020,West Ham,24,1372,0,2,1.51,2.03,2.14+2.14,2.08+0.08,0.14,0.14,Manuel Lanzini,EPL,M
1,2.0,2018/2019,West Ham,10,693,1,1,1.43,0.65,1.18+0.18,0.96-0.04,0.15,0.12,Manuel Lanzini,EPL,M
2,3.0,2017/2018,West Ham,27,2054,5,6,1.93,1.8,3.83-1.17,3.73-2.27,0.17,0.16,Manuel Lanzini,EPL,M
3,4.0,2016/2017,West Ham,35,2727,8,2,2.28,1.88,6.07-1.93,4.01+2.01,0.2,0.13,Manuel Lanzini,EPL,M
4,5.0,2015/2016,West Ham,26,1941,6,2,2.23,1.53,4.53-1.47,2.84+0.84,0.21,0.13,Manuel Lanzini,EPL,M
5,,,,122,8787,20,13,2.0,1.71,17.76-2.24,13.61+0.61,0.18,0.14,Manuel Lanzini,EPL,M
0,1.0,2019/2020,Norwich,24,1201,0,0,1.42,0.9,1.29+1.29,0.94+0.94,0.1,0.07,Marco Stiepermann,EPL,M
1,,,,24,1201,0,0,1.42,0.9,1.29+1.29,0.94+0.94,0.1,0.07,Marco Stiepermann,EPL,M
0,1.0,2019/2020,Watford,28,1656,3,0,1.14,1.09,3.15+0.15,1.36+1.36,0.17,0.07,Roberto Pereyra,EPL,M
1,2.0,2018/2019,Watford,33,2837,6,1,1.81,1.08,5.38-0.62,3.54+2.54,0.17,0.11,Roberto Pereyra,EPL,M
2,3.0,2017/2018,Watford,32,1618,5,2,1.84,1.28,3.91-1.09,2.67+0.67,0.22,0.15,Roberto Pereyra,EPL,M
3,4.0,2016/2017,Watford,13,1044,2,2,0.78,1.29,1.38-0.62,1.70-0.30,0.12,0.15,Roberto Pereyra,EPL,M
4,5.0,2015/2016,Juventus,13,799,0,1,1.13,2.82,0.61+0.61,2.32+1.32,0.07,0.26,Roberto Pereyra,EPL,M
5,6.0,2014/2015,Juventus,35,2282,4,3,1.22,1.7,3.52-0.48,3.64+0.64,0.14,0.14,Roberto Pereyra,EPL,M
6,,,,154,10236,20,9,1.42,1.41,17.95-2.05,15.23+6.23,0.16,0.13,Roberto Pereyra,EPL,M
0,1.0,2019/2020,Bournemouth,31,1672,7,0,3.01,0.75,4.17-2.83,2.22+2.22,0.22,0.12,Harry Wilson,EPL,M
1,,,,31,1672,7,0,3.01,0.75,4.17-2.83,2.22+2.22,0.22,0.12,Harry Wilson,EPL,M
0,1.0,2019/2020,Norwich,16,1159,0,0,0.85,0.23,0.44+0.44,0.15+0.15,0.03,0.01,Tom Trybull,EPL,M
1,,,,16,1159,0,0,0.85,0.23,0.44+0.44,0.15+0.15,0.03,0.01,Tom Trybull,EPL,M
0,1.0,2019/2020,Manchester United,16,1206,1,3,1.64,2.24,2.15+1.15,3.06+0.06,0.16,0.23,Paul Pogba,EPL,M
1,2.0,2018/2019,Manchester United,35,3013,13,9,3.14,1.64,15.88+2.88,5.19-3.81,0.47,0.15,Paul Pogba,EPL,M
2,3.0,2017/2018,Manchester United,27,2158,6,10,3.17,1.63,7.81+1.81,4.59-5.41,0.33,0.19,Paul Pogba,EPL,M
3,4.0,2016/2017,Manchester United,30,2606,5,4,3.18,1.97,6.51+1.51,5.59+1.59,0.22,0.19,Paul Pogba,EPL,M
4,5.0,2015/2016,Juventus,35,3017,8,12,3.7,1.61,8.84+0.84,7.10-4.90,0.26,0.21,Paul Pogba,EPL,M
5,6.0,2014/2015,Juventus,26,2110,8,3,2.39,1.58,4.50-3.50,3.84+0.84,0.19,0.16,Paul Pogba,EPL,M
6,,,,169,14110,41,41,3.03,1.73,45.69+4.69,29.37-11.63,0.29,0.19,Paul Pogba,EPL,M
0,1.0,2019/2020,Bournemouth,24,1255,3,1,0.93,0.72,2.93-0.07,1.37+0.37,0.21,0.1,Dan Gosling,EPL,M
1,2.0,2018/2019,Bournemouth,25,1729,2,1,1.09,0.47,2.39+0.39,0.96-0.04,0.12,0.05,Dan Gosling,EPL,M
2,3.0,2017/2018,Bournemouth,28,1940,2,1,1.07,0.84,2.27+0.27,0.95-0.05,0.11,0.04,Dan Gosling,EPL,M
3,4.0,2016/2017,Bournemouth,27,1336,2,0,1.08,0.67,1.46-0.54,0.78+0.78,0.1,0.05,Dan Gosling,EPL,M
4,5.0,2015/2016,Bournemouth,34,2442,3,1,1.47,1.0,3.23+0.23,1.90+0.90,0.12,0.07,Dan Gosling,EPL,M
5,,,,138,8702,12,4,1.17,0.77,12.28+0.28,5.95+1.95,0.13,0.06,Dan Gosling,EPL,M
0,1.0,2019/2020,Everton,36,3100,13,3,2.58,0.99,9.84-3.16,6.67+3.67,0.29,0.19,Richarlison,EPL,M
1,2.0,2018/2019,Everton,35,2702,13,1,2.73,0.67,11.33-1.67,1.96+0.96,0.38,0.07,Richarlison,EPL,M
2,3.0,2017/2018,Watford,38,2832,5,4,3.02,0.83,10.66+5.66,3.81-0.19,0.34,0.12,Richarlison,EPL,M
3,,,,109,8634,31,8,2.77,0.83,31.84+0.84,12.43+4.43,0.33,0.13,Richarlison,EPL,M
0,1.0,2019/2020,Everton,16,1194,0,0,0.23,0.53,0.05+0.05,0.48+0.48,0.0,0.04,Fabian Delph,EPL,M
1,2.0,2018/2019,Manchester City,11,723,0,1,0.5,0.37,0.07+0.07,0.39-0.61,0.01,0.05,Fabian Delph,EPL,M
2,3.0,2017/2018,Manchester City,22,1747,1,2,0.52,0.57,0.20-0.80,1.31-0.69,0.01,0.07,Fabian Delph,EPL,M
3,4.0,2016/2017,Manchester City,7,216,1,0,2.5,0.83,0.23-0.77,0.36+0.36,0.09,0.15,Fabian Delph,EPL,M
4,5.0,2015/2016,Manchester City,17,753,2,0,1.55,0.24,0.30-1.70,0.43+0.43,0.04,0.05,Fabian Delph,EPL,M
5,6.0,2014/2015,Aston Villa,28,2435,0,3,1.55,1.33,1.54+1.54,2.42-0.58,0.06,0.09,Fabian Delph,EPL,M
6,,,,101,7068,4,6,0.99,0.78,2.38-1.62,5.38-0.62,0.03,0.07,Fabian Delph,EPL,M
0,1.0,2019/2020,Arsenal,36,3143,22,3,2.66,0.74,16.35-5.65,4.49+1.49,0.47,0.13,Pierre-Emerick Aubameyang,EPL,M
1,2.0,2018/2019,Arsenal,36,2740,22,5,3.09,1.08,23.55+1.55,4.99-0.01,0.77,0.16,Pierre-Emerick Aubameyang,EPL,M
2,3.0,2017/2018,Borussia Dortmund,16,1421,13,3,3.74,1.01,16.65+3.65,2.56-0.44,1.05,0.16,Pierre-Emerick Aubameyang,EPL,M
3,4.0,2017/2018,Arsenal,13,1056,10,4,2.64,1.11,9.17-0.83,1.26-2.74,0.78,0.11,Pierre-Emerick Aubameyang,EPL,M
4,5.0,2016/2017,Borussia Dortmund,32,2785,31,2,3.75,0.84,31.14+0.14,4.50+2.50,1.01,0.15,Pierre-Emerick Aubameyang,EPL,M
5,6.0,2015/2016,Borussia Dortmund,31,2476,25,5,4.29,1.02,28.19+3.19,6.56+1.56,1.02,0.24,Pierre-Emerick Aubameyang,EPL,M
6,7.0,2014/2015,Borussia Dortmund,33,2724,16,6,3.37,1.52,15.40-0.60,6.38+0.38,0.51,0.21,Pierre-Emerick Aubameyang,EPL,M
