,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Real Betis,17,719,1,0,1.5,0.5,1.23+0.23,0.07+0.07,0.15,0.01,Carles Aleñá,La Liga,M
1,2.0,2019/2020,Barcelona,4,172,0,0,0.52,0.0,0.11+0.11,0.00,0.06,0.0,Carles Aleñá,La Liga,M
2,3.0,2018/2019,Barcelona,17,622,2,0,2.03,1.3,0.88-1.12,0.74+0.74,0.13,0.11,Carles Aleñá,La Liga,M
3,4.0,2016/2017,Barcelona,3,39,0,0,2.31,0.0,0.06+0.06,0.00,0.13,0.0,Carles Aleñá,La Liga,M
4,,,,41,1552,3,0,1.62,0.75,2.27-0.73,0.81+0.81,0.13,0.05,Carles Aleñá,La Liga,M
0,1.0,2019/2020,Atletico Madrid,29,1382,3,3,0.91,1.04,1.72-1.28,2.33-0.67,0.11,0.15,Marcos Llorente,La Liga,M
1,2.0,2018/2019,Real Madrid,7,538,0,0,0.17,0.67,0.07+0.07,0.21+0.21,0.01,0.03,Marcos Llorente,La Liga,M
2,3.0,2017/2018,Real Madrid,13,537,0,0,1.01,0.5,0.21+0.21,0.19+0.19,0.04,0.03,Marcos Llorente,La Liga,M
3,4.0,2016/2017,Alaves,32,2803,0,2,0.45,0.61,0.26+0.26,0.87-1.13,0.01,0.03,Marcos Llorente,La Liga,M
4,5.0,2015/2016,Real Madrid,2,22,0,0,0.0,4.09,0.00,0.04+0.04,0.0,0.15,Marcos Llorente,La Liga,M
5,,,,83,5282,3,5,0.6,0.73,2.26-0.74,3.63-1.37,0.04,0.06,Marcos Llorente,La Liga,M
0,1.0,2019/2020,Osasuna,22,1064,2,1,1.61,1.27,1.08-0.92,0.64-0.36,0.09,0.05,Iñigo Pérez,La Liga,M
1,,,,22,1064,2,1,1.61,1.27,1.08-0.92,0.64-0.36,0.09,0.05,Iñigo Pérez,La Liga,M
0,1.0,2019/2020,Espanyol,24,1119,0,0,0.24,1.05,0.12+0.12,0.49+0.49,0.01,0.04,Óscar Melendo,La Liga,M
1,2.0,2018/2019,Espanyol,32,2001,0,5,0.4,1.53,0.48+0.48,3.86-1.14,0.02,0.17,Óscar Melendo,La Liga,M
2,3.0,2017/2018,Espanyol,18,668,1,1,1.08,1.21,0.51-0.49,0.44-0.56,0.07,0.06,Óscar Melendo,La Liga,M
3,4.0,2016/2017,Espanyol,11,298,0,0,0.3,0.0,0.09+0.09,0.00,0.03,0.0,Óscar Melendo,La Liga,M
4,,,,85,4086,1,6,0.46,1.23,1.20+0.20,4.79-1.21,0.03,0.11,Óscar Melendo,La Liga,M
0,1.0,2019/2020,Granada,15,958,2,5,1.32,1.97,1.05-0.95,1.39-3.61,0.1,0.13,Montoro,La Liga,M
1,2.0,2016/2017,Las Palmas,17,1109,0,0,0.32,0.49,0.07+0.07,0.23+0.23,0.01,0.02,Montoro,La Liga,M
2,3.0,2015/2016,Las Palmas,9,431,0,0,0.21,1.04,0.02+0.02,0.21+0.21,0.0,0.04,Montoro,La Liga,M
3,,,,41,2498,2,5,0.68,1.15,1.14-0.86,1.82-3.18,0.04,0.07,Montoro,La Liga,M
0,1.0,2019/2020,Sevilla,28,1645,3,3,0.88,1.15,1.60-1.40,2.63-0.37,0.09,0.14,Óliver Torres,La Liga,M
1,2.0,2015/2016,Atletico Madrid,21,814,0,2,1.0,1.88,0.31+0.31,1.71-0.29,0.03,0.19,Óliver Torres,La Liga,M
2,,,,49,2459,3,5,0.92,1.39,1.92-1.08,4.34-0.66,0.07,0.16,Óliver Torres,La Liga,M
0,1.0,2019/2020,Real Valladolid,20,1662,2,0,0.54,0.22,0.61-1.39,0.09+0.09,0.03,0.0,Joaquín Fernández,La Liga,M
1,2.0,2018/2019,Real Valladolid,13,835,1,0,0.75,0.11,0.33-0.67,0.01+0.01,0.04,0.0,Joaquín Fernández,La Liga,M
2,,,,33,2497,3,0,0.61,0.18,0.94-2.06,0.10+0.10,0.03,0.0,Joaquín Fernández,La Liga,M
0,1.0,2019/2020,Levante,25,1235,2,1,1.31,0.87,3.04+1.04,1.99+0.99,0.22,0.15,Gonzalo Melero,La Liga,M
1,2.0,2018/2019,SD Huesca,22,1347,2,1,1.54,1.47,4.72+2.72,1.82+0.82,0.32,0.12,Gonzalo Melero,La Liga,M
2,,,,47,2582,4,2,1.43,1.19,7.77+3.77,3.81+1.81,0.27,0.13,Gonzalo Melero,La Liga,M
0,1.0,2019/2020,Osasuna,23,1162,0,1,1.01,0.77,0.25+0.25,0.64-0.36,0.02,0.05,Fran Mérida,La Liga,M
1,2.0,2016/2017,Osasuna,15,810,1,0,1.78,0.78,0.99-0.01,0.52+0.52,0.11,0.06,Fran Mérida,La Liga,M
2,,,,38,1972,1,1,1.32,0.78,1.24+0.24,1.17+0.17,0.06,0.05,Fran Mérida,La Liga,M
