,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
0,1.0,2019/2020,Nice,22,1641,1,1,2.08,1.1,3.04+2.04,1.49+0.49,0.17,0.08,Alexis Claude Maurice,Ligue1,M
1,,,,22,1641,1,1,2.08,1.1,3.04+2.04,1.49+0.49,0.17,0.08,Alexis Claude Maurice,Ligue1,M
0,1.0,2019/2020,Nimes,22,1125,0,2,1.68,0.88,1.23+1.23,1.78-0.22,0.1,0.14,Sidy Sarr,Ligue1,M
1,,,,22,1125,0,2,1.68,0.88,1.23+1.23,1.78-0.22,0.1,0.14,Sidy Sarr,Ligue1,M
0,1.0,2019/2020,Bordeaux,23,1899,1,0,0.57,0.81,0.66-0.34,0.88+0.88,0.03,0.04,Loris Benito,Ligue1,M
1,,,,23,1899,1,0,0.57,0.81,0.66-0.34,0.88+0.88,0.03,0.04,Loris Benito,Ligue1,M
0,1.0,2019/2020,Dijon,23,1886,0,1,0.43,0.43,0.50+0.50,0.48-0.52,0.02,0.02,Wesley Lautoa,Ligue1,M
1,2.0,2018/2019,Dijon,34,3033,0,0,0.42,0.12,0.47+0.47,0.19+0.19,0.01,0.01,Wesley Lautoa,Ligue1,M
2,3.0,2017/2018,Dijon,10,622,0,0,0.14,0.0,0.10+0.10,0.00,0.01,0.0,Wesley Lautoa,Ligue1,M
3,4.0,2016/2017,Lorient,21,1515,1,0,0.36,0.18,0.28-0.72,0.14+0.14,0.02,0.01,Wesley Lautoa,Ligue1,M
4,5.0,2015/2016,Lorient,13,1011,0,0,0.36,0.36,0.25+0.25,1.06+1.06,0.02,0.09,Wesley Lautoa,Ligue1,M
5,6.0,2014/2015,Lorient,26,2309,0,0,0.35,0.23,0.43+0.43,0.16+0.16,0.02,0.01,Wesley Lautoa,Ligue1,M
6,,,,127,10376,1,1,0.37,0.23,2.02+1.02,2.03+1.03,0.02,0.02,Wesley Lautoa,Ligue1,M
0,1.0,2019/2020,Bordeaux,15,1118,0,1,0.97,0.48,0.62+0.62,0.25-0.75,0.05,0.02,Aurelien Tchouameni,Ligue1,M
1,2.0,2019/2020,Monaco,3,42,0,0,4.29,4.29,0.08+0.08,0.36+0.36,0.18,0.78,Aurelien Tchouameni,Ligue1,M
2,3.0,2018/2019,Bordeaux,10,713,0,0,0.88,0.38,0.25+0.25,0.08+0.08,0.03,0.01,Aurelien Tchouameni,Ligue1,M
3,,,,28,1873,0,1,1.01,0.53,0.96+0.96,0.69-0.31,0.05,0.03,Aurelien Tchouameni,Ligue1,M
0,1.0,2019/2020,Montpellier,20,1244,0,1,0.65,0.8,0.16+0.16,0.37-0.63,0.01,0.03,Joris Chotard,Ligue1,M
1,,,,20,1244,0,1,0.65,0.8,0.16+0.16,0.37-0.63,0.01,0.03,Joris Chotard,Ligue1,M
0,1.0,2019/2020,Montpellier,16,1166,0,0,0.85,1.7,0.43+0.43,1.22+1.22,0.03,0.09,Jordan Ferri,Ligue1,M
1,2.0,2018/2019,Nimes,24,1888,2,1,0.72,1.24,0.75-1.25,2.88+1.88,0.04,0.14,Jordan Ferri,Ligue1,M
2,3.0,2018/2019,Lyon,4,113,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Jordan Ferri,Ligue1,M
3,4.0,2017/2018,Lyon,24,606,0,1,1.04,1.19,0.37+0.37,0.89-0.11,0.05,0.13,Jordan Ferri,Ligue1,M
4,5.0,2016/2017,Lyon,27,933,1,2,0.96,1.83,0.93-0.07,2.78+0.78,0.09,0.27,Jordan Ferri,Ligue1,M
5,6.0,2015/2016,Lyon,34,2462,2,5,1.17,1.65,1.90-0.10,5.26+0.26,0.07,0.19,Jordan Ferri,Ligue1,M
6,7.0,2014/2015,Lyon,35,2635,1,6,1.37,1.16,3.81+2.81,3.78-2.22,0.13,0.13,Jordan Ferri,Ligue1,M
7,,,,164,9803,6,15,1.06,1.41,8.19+2.19,16.80+1.80,0.08,0.15,Jordan Ferri,Ligue1,M
0,1.0,2019/2020,Amiens,17,1137,0,0,0.47,0.47,0.83+0.83,0.52+0.52,0.07,0.04,Eddy Gnahore,Ligue1,M
1,2.0,2018/2019,Amiens,34,2236,4,2,1.21,1.21,4.07+0.07,2.45+0.45,0.16,0.1,Eddy Gnahore,Ligue1,M
2,3.0,2016/2017,Crotone,1,22,0,0,0.0,4.09,0.00,0.06+0.06,0.0,0.25,Eddy Gnahore,Ligue1,M
3,,,,52,3395,4,2,0.95,0.98,4.90+0.90,3.03+1.03,0.13,0.08,Eddy Gnahore,Ligue1,M
0,1.0,2019/2020,Monaco,22,1206,0,2,1.04,1.12,0.57+0.57,2.19+0.19,0.04,0.16,Adrien Silva,Ligue1,M
1,2.0,2018/2019,Monaco,15,1183,0,0,0.68,0.46,0.24+0.24,0.49+0.49,0.02,0.04,Adrien Silva,Ligue1,M
2,3.0,2018/2019,Leicester,2,86,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Adrien Silva,Ligue1,M
3,4.0,2017/2018,Leicester,12,765,0,1,1.29,0.71,0.24+0.24,0.89-0.11,0.03,0.1,Adrien Silva,Ligue1,M
4,,,,51,3240,0,3,0.94,0.75,1.06+1.06,3.57+0.57,0.03,0.1,Adrien Silva,Ligue1,M
0,1.0,2019/2020,Angers,23,1494,1,2,0.84,1.51,0.78-0.22,2.13+0.13,0.05,0.13,Sada Thioub,Ligue1,M
1,2.0,2018/2019,Nimes,38,2492,3,5,1.26,1.3,3.67+0.67,2.57-2.43,0.13,0.09,Sada Thioub,Ligue1,M
2,3.0,2014/2015,Nice,2,33,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Sada Thioub,Ligue1,M
3,,,,63,4019,4,7,1.1,1.37,4.45+0.45,4.71-2.29,0.1,0.11,Sada Thioub,Ligue1,M
0,1.0,2019/2020,Amiens,20,1218,1,3,0.52,0.96,0.73-0.27,1.48-1.52,0.05,0.11,Fousseni Diabate,Ligue1,M
1,2.0,2018/2019,Leicester,1,55,0,0,0.0,1.64,0.00,0.08+0.08,0.0,0.12,Fousseni Diabate,Ligue1,M
2,3.0,2017/2018,Leicester,14,575,0,1,0.94,1.1,0.59+0.59,0.39-0.61,0.09,0.06,Fousseni Diabate,Ligue1,M
3,,,,35,1848,1,4,0.63,1.02,1.32+0.32,1.94-2.06,0.06,0.09,Fousseni Diabate,Ligue1,M
0,1.0,2019/2020,Brest,19,1226,2,1,0.95,1.17,0.74-1.26,1.85+0.85,0.05,0.14,Paul Lasne,Ligue1,M
1,2.0,2018/2019,Montpellier,35,1758,2,0,1.18,1.18,1.37-0.63,1.80+1.80,0.07,0.09,Paul Lasne,Ligue1,M
2,3.0,2017/2018,Montpellier,37,3064,1,2,1.32,1.09,1.09+0.09,2.20+0.20,0.03,0.06,Paul Lasne,Ligue1,M
