Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,4,1.29,11,7,.636,1,0,3,1,25.0,0,0,0,0,Matches
2,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,16,2.71,45,28,.644,0,1,4,0,0.0,1,0,0,1,Matches
3,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,22,1997,36,36,3240,60,1.67,160,110,.669,12,5,19,9,25.0,8,7,0,1,Matches
4,Asmir Begović\Asmir-Begovic,ba BIH,GK,Milan,32,1987,2,1,129,3,2.09,6,4,.667,0,0,1,0,0.0,1,1,0,0,Matches
5,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,30,1989,26,26,2340,41,1.58,142,106,.754,5,3,18,3,11.5,6,6,0,0,Matches
6,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,18,2001,1,0,6,0,0.00,0,0,,0,0,0,1,,0,0,0,0,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,41,1978,9,9,810,10,1.11,32,23,.719,7,1,1,1,11.1,2,1,0,1,Matches
8,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,28,1991,4,4,360,4,1.00,17,14,.824,1,1,2,1,25.0,2,1,0,1,Matches
9,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,32,1987,31,31,2790,55,1.77,140,93,.657,12,5,14,5,16.1,8,7,1,0,Matches
10,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,35,1983,1,1,90,1,1.00,2,1,.500,0,1,0,0,0.0,0,0,0,0,Matches
11,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,25,1994,16,16,1440,21,1.31,86,66,.767,2,6,8,3,18.8,2,1,1,0,Matches
12,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,20,1999,36,36,3201,42,1.18,134,97,.716,18,9,9,12,33.3,8,4,4,0,Matches
13,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,21,1997,31,31,2790,43,1.39,131,94,.718,7,12,12,8,25.8,8,6,2,0,Matches
